discussionId,discussionType,entityId,entityType,discussionCreatedAt,score
56228,4,Pen1BQq4V4oQ,notebook,2025-07-29T17:21:03,89.3723076923077
56270,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-07-30T15:18:28,89.23827898099739
56178,4,Pen1BEe4V4oQ,notebook,2025-07-29T13:38:53,87.4261538461538
56197,4,Pen1BX0lm4oQ,notebook,2025-07-29T15:48:17,86.15692307692309
56226,4,Pen1BQj7V4oQ,notebook,2025-07-29T17:19:21,85.9876923076923
56137,4,Pen1Bw6724oQ,notebook,2025-07-28T18:43:03,84.16
56126,4,xLYmRZ5jm6ov,notebook,2025-07-28T15:55:50,83.48307692307691
56244,4,Pen1B7J424oQ,notebook,2025-07-29T23:31:38,81.6723076923077
56005,2,74bbc495-bfd4-4528-9a71-325d746180c3,workspace,2025-07-25T12:58:04,78.6121691145963
56302,4,xLYmRxpO16ov,notebook,2025-07-31T04:43:02,78
56261,2,49a4cdd5-b63c-4864-a379-7f8d02a5ff6c,workspace,2025-07-30T10:30:55,76.10430669653971
55408,2,0654ef53-bb51-4be3-9836-1c403a1d3c3a,workspace,2025-07-21T13:59:48,71.8745290847233
55810,2,c7fb2fde-e366-4617-b11b-65bdf6f2980c,workspace,2025-07-23T09:44:39,66.4930088789312
55917,2,4501ecbe-9e11-4ab1-8e6f-49f9ebb8fd29,workspace,2025-07-24T15:54:27,64.25711559206701
54883,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-07-08T15:15:46,63.48377727989381
54661,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2025-07-02T13:12:59,62.672608082316806
54992,2,405e0480-49cf-463b-8052-6c0d05a8e8f3,workspace,2025-07-10T14:35:13,61.949605841838796
54619,2,bf049f54-c695-4e91-b879-0cad1854bafa,workspace,2025-07-01T17:49:50,60.781117749564395
56299,2,4501ecbe-9e11-4ab1-8e6f-49f9ebb8fd29,workspace,2025-07-31T02:57:57,60.7722180731889
54645,2,820fa1ee-1c5e-41a0-9d61-f991718019ab,workspace,2025-07-02T08:53:10,60.6121566674965
54670,2,7e7595f0-4829-4f9a-aee1-75c126b9d417,workspace,2025-07-02T13:49:09,60.60145216164629
47126,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2025-04-07T10:15:06,60.572608082316805
33559,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2024-12-03T14:01:13,60.572608082316805
38431,2,34382471-0c97-40e5-a206-f947271665c4,workspace,2025-01-15T10:43:11,60.572608082316805
54591,2,820fa1ee-1c5e-41a0-9d61-f991718019ab,workspace,2025-07-01T10:36:57,60.262156667496505
54727,2,1f49bd9d-29f5-4c47-84fc-596270f658f0,workspace,2025-07-03T14:28:18,60.086764583852
42185,2,6f729c41-9538-4a0f-a4e0-8a02d92d1e73,workspace,2025-02-13T00:04:23,59.984648576881604
27093,2,6f729c41-9538-4a0f-a4e0-8a02d92d1e73,workspace,2024-10-17T09:21:21,59.984648576881604
47026,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-04-03T18:27:42,59.8931623931624
47287,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-04-10T18:45:21,59.8931623931624
47030,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-04-03T19:07:00,59.8931623931624
40824,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-02-03T14:23:42,59.8931623931624
52184,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-06-03T16:16:32,59.8931623931624
50784,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-05-23T15:06:49,59.8931623931624
34126,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2024-12-06T19:25:38,59.8931623931624
37304,2,d7645f33-539d-49c6-9e0c-efa6faae355d,workspace,2025-01-06T19:40:17,59.8931623931624
52002,2,345300e6-346e-42e0-aed1-53717919aef0,workspace,2025-06-02T16:21:56,59.75636876607749
47830,2,345300e6-346e-42e0-aed1-53717919aef0,workspace,2025-04-23T18:46:27,59.75636876607749
40395,2,0b1b0dd5-9d42-4066-b60f-757a0a7c3a69,workspace,2025-01-30T06:42:41,59.6980333582275
54492,2,820fa1ee-1c5e-41a0-9d61-f991718019ab,workspace,2025-06-27T12:57:37,59.5621566674965
38708,2,a8d63f9f-cfc7-4810-90c5-9e0c60030d3e,workspace,2025-01-17T08:04:11,59.466849224130804
47023,2,a8d63f9f-cfc7-4810-90c5-9e0c60030d3e,workspace,2025-04-03T17:24:38,59.466849224130804
47621,2,a8d63f9f-cfc7-4810-90c5-9e0c60030d3e,workspace,2025-04-18T06:54:33,59.466849224130804
48070,2,bf049f54-c695-4e91-b879-0cad1854bafa,workspace,2025-05-01T18:08:14,59.0311177495643
37075,2,bf049f54-c695-4e91-b879-0cad1854bafa,workspace,2025-01-03T22:02:23,59.0311177495643
50837,2,bf049f54-c695-4e91-b879-0cad1854bafa,workspace,2025-05-24T00:25:11,59.0311177495643
46734,2,bf049f54-c695-4e91-b879-0cad1854bafa,workspace,2025-03-25T19:51:46,59.0311177495643
42014,2,bf049f54-c695-4e91-b879-0cad1854bafa,workspace,2025-02-11T23:09:48,59.0311177495643
25826,2,f32a3a24-8715-4592-880d-4a362af34192,workspace,2024-10-08T09:42:08,58.9892540038171
55184,2,d7ae0b36-4aef-40c7-86ae-2297169b1dcd,workspace,2025-07-15T17:42:18,58.924861007385296
